abs,frac
0,0.000000
0,0.000000
4,0.160000
4,0.160000
4,0.160000
0,0.000000
0,0.000000
2,0.086957
0,0.000000
0,0.000000
5,0.192308
5,0.192308
5,0.192308
5,0.192308
0,0.000000
0,0.000000
2,0.076923
0,0.000000
0,0.000000
2,0.086957
2,0.086957
2,0.086957
0,0.000000
0,0.000000
2,0.083333
2,0.083333
2,0.083333
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.105263
0,0.000000
0,0.000000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
3,0.166667
3,0.166667
0,0.000000
0,0.000000
2,0.090909
0,0.000000
0,0.000000
2,0.090909
0,0.000000
0,0.000000
4,0.181818
4,0.181818
4,0.181818
0,0.000000
0,0.000000
3,0.136364
3,0.136364
0,0.000000
0,0.000000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
7,0.280000
0,0.000000
0,0.000000
2,0.090909
0,0.000000
0,0.000000
2,0.086957
2,0.086957
2,0.086957
4,0.173913
0,0.000000
0,0.000000
1,0.050000
1,0.050000
1,0.050000
0,0.000000
0,0.000000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
0,0.000000
0,0.000000
2,0.083333
0,0.000000
0,0.000000
4,0.153846
4,0.153846
4,0.153846
0,0.000000
0,0.000000
2,0.083333
0,0.000000
0,0.000000
5,0.185185
5,0.185185
5,0.185185
5,0.185185
0,0.000000
0,0.000000
2,0.083333
0,0.000000
0,0.000000
2,0.080000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
4,0.160000
4,0.160000
4,0.160000
0,0.000000
0,0.000000
2,0.125000
0,0.000000
0,0.000000
4,0.222222
4,0.222222
4,0.222222
0,0.000000
0,0.000000
2,0.117647
2,0.117647
2,0.117647
6,0.352941
6,0.352941
6,0.352941
0,0.000000
0,0.000000
3,0.187500
3,0.187500
0,0.000000
0,0.000000
5,0.263158
5,0.263158
5,0.263158
5,0.263158
0,0.000000
0,0.000000
2,0.125000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
9,0.450000
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
4,0.181818
4,0.181818
4,0.181818
4,0.181818
4,0.181818
6,0.272727
0,0.000000
0,0.000000
2,0.086957
2,0.086957
2,0.086957
4,0.173913
2,0.086957
2,0.086957
9,0.391304
9,0.391304
9,0.391304
9,0.391304
9,0.391304
9,0.391304
0,0.000000
0,0.000000
2,0.086957
0,0.000000
0,0.000000
4,0.200000
4,0.200000
4,0.200000
0,0.000000
0,0.000000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
7,0.304348
0,0.000000
0,0.000000
2,0.100000
2,0.100000
2,0.100000
4,0.200000
0,0.000000
0,0.000000
2,0.095238
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
3,0.136364
3,0.136364
0,0.000000
0,0.000000
2,0.083333
0,0.000000
0,0.000000
3,0.142857
3,0.142857
0,0.000000
0,0.000000
4,0.173913
4,0.173913
4,0.173913
0,0.000000
0,0.000000
2,0.105263
2,0.105263
2,0.105263
5,0.263158
5,0.263158
0,0.000000
0,0.000000
4,0.200000
4,0.200000
4,0.200000
0,0.000000
0,0.000000
2,0.095238
0,0.000000
0,0.000000
1,0.052632
1,0.052632
4,0.210526
4,0.210526
0,0.000000
0,0.000000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
9,0.391304
9,0.391304
9,0.391304
0,0.000000
0,0.000000
3,0.142857
3,0.142857
0,0.000000
0,0.000000
3,0.142857
3,0.142857
0,0.000000
0,0.000000
5,0.238095
5,0.238095
5,0.238095
5,0.238095
5,0.238095
0,0.000000
0,0.000000
6,0.300000
6,0.300000
6,0.300000
6,0.300000
6,0.300000
6,0.300000
6,0.300000
0,0.000000
0,0.000000
4,0.190476
4,0.190476
4,0.190476
0,0.000000
0,0.000000
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.071429
2,0.071429
2,0.071429
0,0.000000
0,0.000000
0,0.000000
0,0.000000
4,0.133333
4,0.133333
4,0.133333
0,0.000000
0,0.000000
3,0.103448
3,0.103448
0,0.000000
0,0.000000
5,0.166667
5,0.166667
5,0.166667
5,0.166667
0,0.000000
0,0.000000
2,0.105263
0,0.000000
0,0.000000
5,0.227273
5,0.227273
5,0.227273
5,0.227273
0,0.000000
0,0.000000
2,0.105263
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
4,0.190476
4,0.190476
4,0.190476
0,0.000000
0,0.000000
4,0.181818
4,0.181818
4,0.181818
0,0.000000
0,0.000000
3,0.142857
3,0.142857
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.090909
0,0.000000
0,0.000000
6,0.260870
6,0.260870
6,0.260870
6,0.260870
6,0.260870
0,0.000000
0,0.000000
5,0.227273
5,0.227273
5,0.227273
5,0.227273
0,0.000000
0,0.000000
2,0.095238
0,0.000000
0,0.000000
7,0.280000
7,0.280000
7,0.280000
7,0.280000
7,0.280000
7,0.280000
0,0.000000
0,0.000000
2,0.086957
0,0.000000
0,0.000000
3,0.120000
3,0.120000
0,0.000000
0,0.000000
3,0.125000
3,0.125000
0,0.000000
0,0.000000
2,0.086957
0,0.000000
0,0.000000
4,0.160000
4,0.160000
4,0.160000
0,0.000000
0,0.000000
2,0.064516
2,0.064516
2,0.064516
9,0.290323
9,0.290323
9,0.290323
9,0.290323
9,0.290323
9,0.290323
0,0.000000
0,0.000000
1,0.043478
1,0.043478
3,0.130435
0,0.000000
0,0.000000
4,0.166667
4,0.166667
4,0.166667
0,0.000000
0,0.000000
4,0.235294
4,0.235294
4,0.235294
0,0.000000
0,0.000000
2,0.133333
0,0.000000
0,0.000000
4,0.250000
4,0.250000
4,0.250000
0,0.000000
0,0.000000
3,0.200000
3,0.200000
0,0.000000
0,0.000000
5,0.277778
5,0.277778
5,0.277778
5,0.277778
0,0.000000
0,0.000000
2,0.133333
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
5,0.208333
5,0.208333
5,0.208333
5,0.208333
5,0.208333
5,0.208333
15,0.625000
15,0.625000
15,0.625000
0,0.000000
0,0.000000
2,0.100000
2,0.100000
2,0.100000
11,0.550000
11,0.550000
11,0.550000
11,0.550000
0,0.000000
0,0.000000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
0,0.000000
0,0.000000
2,0.100000
0,0.000000
0,0.000000
12,0.521739
12,0.521739
12,0.521739
12,0.521739
12,0.521739
12,0.521739
12,0.521739
0,0.000000
0,0.000000
5,0.192308
5,0.192308
5,0.192308
5,0.192308
0,0.000000
0,0.000000
2,0.086957
0,0.000000
0,0.000000
2,0.083333
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.086957
0,0.000000
0,0.000000
2,0.083333
0,0.000000
0,0.000000
0,0.000000
0,0.000000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
8,0.320000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.062500
2,0.062500
0,0.000000
5,0.156250
5,0.156250
5,0.156250
5,0.156250
0,0.000000
0,0.000000
2,0.062500
2,0.062500
0,0.000000
0,0.000000
1,0.031250
1,0.031250
0,0.000000
0,0.000000
3,0.093750
3,0.093750
3,0.093750
0,0.000000
0,0.000000
6,0.352941
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
2,0.111111
0,0.000000
0,0.000000
1,0.058824
1,0.058824
7,0.411765
0,0.000000
0,0.000000
3,0.157895
3,0.157895
3,0.157895
3,0.157895
0,0.000000
0,0.000000
5,0.263158
5,0.263158
5,0.263158
5,0.263158
5,0.263158
5,0.263158
5,0.263158
0,0.000000
0,0.000000
0,0.000000
0,0.000000
5,0.156250
5,0.156250
5,0.156250
5,0.156250
5,0.156250
0,0.000000
0,0.000000
2,0.062500
2,0.062500
2,0.062500
4,0.125000
0,0.000000
0,0.000000
1,0.031250
1,0.031250
0,0.000000
0,0.000000
5,0.192308
