abs,frac
4,0.181818
4,0.181818
4,0.181818
4,0.181818
6,0.272727
6,0.272727
6,0.250000
6,0.250000
6,0.250000
6,0.250000
6,0.250000
6,0.250000
6,0.250000
8,0.333333
8,0.333333
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
7,0.304348
7,0.304348
2,0.086957
2,0.086957
2,0.086957
4,0.173913
4,0.173913
2,0.086957
9,0.391304
9,0.391304
9,0.391304
9,0.391304
9,0.391304
9,0.391304
9,0.391304
2,0.090909
2,0.090909
4,0.200000
4,0.200000
4,0.200000
4,0.200000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.090909
2,0.090909
6,0.272727
6,0.272727
6,0.272727
6,0.272727
6,0.272727
6,0.272727
2,0.133333
2,0.133333
2,0.100000
2,0.100000
9,0.450000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
7,0.304348
7,0.304348
2,0.086957
2,0.086957
2,0.100000
2,0.100000
2,0.095238
2,0.095238
2,0.095238
4,0.190476
4,0.190476
1,0.050000
1,0.050000
3,0.150000
3,0.150000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.095238
2,0.095238
1,0.050000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.095238
2,0.095238
1,0.050000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.100000
2,0.125000
2,0.125000
2,0.100000
2,0.100000
8,0.400000
2,0.100000
2,0.100000
3,0.136364
3,0.136364
3,0.136364
2,0.090909
2,0.090909
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
7,0.304348
7,0.304348
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
2,0.083333
2,0.083333
1,0.043478
2,0.100000
2,0.100000
4,0.181818
4,0.181818
4,0.181818
4,0.181818
2,0.086957
2,0.086957
4,0.200000
4,0.200000
4,0.200000
4,0.200000
6,0.272727
6,0.272727
6,0.272727
6,0.272727
6,0.272727
6,0.272727
2,0.095238
2,0.095238
6,0.250000
6,0.250000
6,0.250000
6,0.250000
6,0.250000
6,0.250000
3,0.142857
3,0.142857
3,0.142857
1,0.050000
4,0.173913
4,0.173913
4,0.173913
4,0.173913
3,0.130435
3,0.130435
3,0.130435
2,0.100000
2,0.100000
3,0.157895
3,0.157895
3,0.157895
4,0.266667
4,0.266667
4,0.266667
4,0.266667
4,0.266667
2,0.095238
2,0.095238
1,0.050000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
2,0.100000
2,0.100000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
2,0.095238
